Customer ID,x,y
12346,-2.4849484,-19.523249
12347,-40.270226,16.481243
12348,-3.3338664,-32.290077
12349,-26.990856,-5.2502933
12350,45.756546,-11.317106
12351,46.214657,9.443246
12352,1.6899225,-35.707897
12353,-19.011898,-5.245673
12354,18.742252,12.9897995
12355,-3.0221553,6.6646447
12356,19.320353,-1.718268
12357,33.43792,-8.38736
12358,-27.91377,35.451065
12359,-28.617125,9.970698
12360,4.186188,-29.12086
12361,7.252482,-29.255808
12362,-1.956164,3.2590642
12363,-27.035873,-8.090481
12364,-4.106494,16.876602
12365,-16.87178,-8.676135
12366,-50.94308,11.138929
12367,-26.681948,31.056639
12368,-20.600334,29.465792
12369,23.763597,-14.816592
12370,-31.226875,34.593838
12371,-18.038132,45.70676
12372,1.4060256,5.3480926
12373,-1.2691,-5.9430256
12374,51.655388,-11.170797
12375,-17.480358,23.312437
12376,-29.588655,24.05644
12377,-48.540657,-10.413117
12378,-16.291761,-28.832167
12379,9.508894,23.096209
12380,-15.379698,29.452887
12381,-15.698153,40.215767
12382,-7.5270147,-7.537499
12383,-20.117588,20.765373
12384,43.535553,-17.600248
12385,16.197216,24.15478
12386,17.127588,44.77623
12387,19.72957,-44.959873
12388,-50.07862,17.753422
12389,-1.8470595,25.52917
12390,8.919096,40.140648
12391,-4.518914,-20.987417
12392,-1.4573618,16.971699
12393,-14.13892,2.6962132
12394,-36.6898,5.397373
12395,19.45953,-3.7441764
12396,-17.864513,42.666393
12397,-14.844778,46.77076
12398,-26.416033,-9.844783
12399,-28.465816,-25.269531
12400,-39.47354,18.686035
12401,6.0765204,-3.310108
12402,-2.7422738,-13.676624
12403,23.019728,-39.476387
12404,11.371376,8.037902
12405,-7.539437,24.742762
12406,6.6283164,-32.36846
12407,-24.252352,-5.7451906
12408,-11.236632,-11.090558
12409,20.28176,33.55588
12410,12.3123455,12.627215
12411,0.29078445,-14.044213
12412,-43.753426,-33.553055
12413,4.142877,-56.56766
12414,32.540573,31.180557
12415,13.126235,10.38023
12416,-13.429665,-12.778303
12417,2.9750042,21.713266
12418,0.17683922,-44.06853
12419,3.6324615,-8.124229
12420,21.73889,24.791252
12421,-13.981052,24.56851
12422,-32.434536,-6.7193294
12423,27.46439,-6.552929
12424,15.997683,25.802158
12425,-23.364809,-10.358626
12426,42.900352,-16.816198
12427,12.456235,35.468533
12428,-0.2315679,-41.574993
12429,-11.584749,-41.761257
12430,22.440908,26.670444
12431,24.294952,44.05232
12432,-16.871408,-6.8159547
12433,41.068195,-4.2731853
12434,42.048286,-25.037617
12435,-36.66896,15.494442
12436,-1.183207,36.150974
12437,37.461353,-2.0260348
12438,-11.456178,-49.880417
12439,8.838552,16.285378
12440,11.410217,-44.868706
12441,17.186255,-28.243448
12442,-5.564457,19.867563
12443,-11.121485,-20.519464
12444,16.244617,31.892822
12445,-7.6346784,11.441462
12446,18.360085,-36.468754
12447,19.74845,30.173103
12448,-0.6291964,6.0947647
12449,21.231607,-24.357397
12450,-30.397835,4.333531
12451,10.980089,-47.394894
12452,-2.0520234,49.740826
12453,25.10044,-5.736231
12454,41.681973,-11.278765
12455,-24.455364,-24.50072
12456,13.267808,17.113203
