Country,Year,Customer ID,Sales
Australia,2009,12422.0,75.0
Australia,2009,16321.0,196.10000000000002
Australia,2010,12386.0,517.8
Australia,2010,12387.0,143.94
Australia,2010,12388.0,1104.1000000000001
Australia,2010,12389.0,1433.33
Australia,2010,12392.0,234.75000000000003
Australia,2010,12393.0,816.85
Australia,2010,12400.0,205.25
Australia,2010,12411.0,346.9
Australia,2010,12415.0,19468.84
Australia,2010,12416.0,202.56
Australia,2010,12422.0,1288.45
Australia,2010,12424.0,1562.72
Australia,2010,12431.0,3384.82
Australia,2010,12434.0,297.29
Australia,2010,16321.0,34.8
Australia,2011,12386.0,143.0
Australia,2011,12388.0,2682.56
Australia,2011,12393.0,1582.6000000000001
Australia,2011,12415.0,124099.53
Australia,2011,12422.0,386.2
Australia,2011,12424.0,1760.96
Australia,2011,12431.0,4740.72
Australia,2011,12434.0,789.79
Australia,2011,16321.0,355.95
Austria,2009,12358.0,1429.83
Austria,2009,12440.0,488.51
Austria,2010,12358.0,1053.48
Austria,2010,12360.0,1310.83
Austria,2010,12369.0,1511.15
Austria,2010,12370.0,691.82
Austria,2010,12373.0,603.0500000000001
Austria,2010,12374.0,2046.29
Austria,2010,12414.0,90.0
Austria,2010,12440.0,250.69
Austria,2010,12817.0,444.94
Austria,2010,12865.0,1755.24
Austria,2011,12358.0,928.0600000000001
Austria,2011,12360.0,2302.06
Austria,2011,12373.0,324.6
Austria,2011,12374.0,622.93
Austria,2011,12414.0,330.51
Austria,2011,12429.0,381.98
Austria,2011,12453.0,707.09
Austria,2011,12817.0,126.03999999999999
Austria,2011,12818.0,1182.0800000000002
Austria,2011,12865.0,1568.23
Bahrain,2010,12353.0,317.76
Bahrain,2010,12355.0,488.21000000000004
Bahrain,2011,12353.0,89.0
Bahrain,2011,12355.0,459.4
Belgium,2009,12417.0,287.6
Belgium,2010,12361.0,276.35
Belgium,2010,12379.0,692.98
Belgium,2010,12380.0,4704.84
Belgium,2010,12383.0,555.72
Belgium,2010,12385.0,1668.4
Belgium,2010,12395.0,2458.56
Belgium,2010,12399.0,808.65
Belgium,2010,12402.0,941.3
Belgium,2010,12408.0,1287.22
Belgium,2010,12417.0,2552.49
Belgium,2010,12423.0,597.21
Belgium,2010,12431.0,1534.65
Belgium,2010,12460.0,296.65
Belgium,2010,12866.0,593.23
Belgium,2010,12874.0,873.42
Belgium,2010,12876.0,1698.77
Belgium,2010,13022.0,50.3
Belgium,2011,12361.0,174.9
Belgium,2011,12362.0,4702.43
Belgium,2011,12364.0,1191.75
Belgium,2011,12379.0,777.24
Belgium,2011,12380.0,2411.46
Belgium,2011,12383.0,1072.84
Belgium,2011,12390.0,504.84000000000003
Belgium,2011,12394.0,351.08
Belgium,2011,12395.0,2092.71
Belgium,2011,12397.0,2214.9
Belgium,2011,12399.0,1033.65
